Run,Age,BioSample,Developmental_stage,Ecotype,Experimental_Factor:_developmental_stage (exp),Experimental_Factor:_organism_part (exp),Experimental_Factor:_sampling_site (exp),External_Id,Genotype,organism_part,Organism,Sampling_site
ERR3333434,28 to 35,SAMEA5618936,silique stage 4,Col-0,silique stage 4,silique,not applicable,SAMEA5618936,wild type genotype,silique,Arabidopsis thaliana,NA
ERR3333435,28 to 35,SAMEA5618937,silique stage 5,Col-0,silique stage 5,silique,not applicable,SAMEA5618937,wild type genotype,silique,Arabidopsis thaliana,NA
ERR3333436,28 to 35,SAMEA5618938,embryo stage 6,Col-0,embryo stage 6,seed,not applicable,SAMEA5618938,wild type genotype,seed,Arabidopsis thaliana,NA
ERR3333437,28 to 35,SAMEA5618939,embryo stage 7,Col-0,embryo stage 7,seed,not applicable,SAMEA5618939,wild type genotype,seed,Arabidopsis thaliana,NA
ERR3333438,28 to 35,SAMEA5618940,embryo stage 8,Col-0,embryo stage 8,seed,not applicable,SAMEA5618940,wild type genotype,seed,Arabidopsis thaliana,NA
ERR3333439,28 to 35,SAMEA5618941,embryo stage 9,Col-0,embryo stage 9,seed,not applicable,SAMEA5618941,wild type genotype,seed,Arabidopsis thaliana,NA
ERR3333440,35 to 42,SAMEA5618942,embryo stage 10,Col-0,embryo stage 10,seed,not applicable,SAMEA5618942,wild type genotype,seed,Arabidopsis thaliana,NA
ERR3333441,not available,SAMEA5618943,dry seed stage,Col-0,dry seed stage,seed,not applicable,SAMEA5618943,wild type genotype,seed,Arabidopsis thaliana,NA
ERR3333442,not available,SAMEA5618944,seed imbibition stage,Col-0,seed imbibition stage,seed,not applicable,SAMEA5618944,wild type genotype,seed,Arabidopsis thaliana,NA
ERR3333443,28 to 35,SAMEA5618945,flower stage 15,Col-0,flower stage 15,pollen,not applicable,SAMEA5618945,wild type genotype,pollen,Arabidopsis thaliana,NA
