RefexSampleId	NumberOfSamples	BioSample	Ecotype	Organism	Sample Name	Tissue	dev_stage	Age	Treatment
RES00003745	2	SAMN05170747	Col-0 (CS70000)	Arabidopsis thaliana	Axis of the inflorescence (AX)	Inflorescence axis	anthesis of the first flower	NA	NA
RES00003746	2	SAMN05170748	Col-0 (CS70000)	Arabidopsis thaliana	Internode (IN)	Internode	anthesis of the first flower	NA	NA
RES00003747	2	SAMN05170749	Col-0 (CS70000)	Arabidopsis thaliana	Seeds 1 (SD1)	Seed 1	first silique is 1-1.5 cm long (abscission of the 8th flower)	NA	NA
RES00003748	2	SAMN05170750	Col-0 (CS70000)	Arabidopsis thaliana	Pod of the silique 1 (POD1)	Pod 1	first silique is 1-1.5 cm long (abscission of the 8th flower)	NA	NA
RES00003749	2	SAMN05170751	Col-0 (CS70000)	Arabidopsis thaliana	Silique 2 (SL2)	Silique 2	first silique is 1-1.5 cm long (abscission of the 8th flower)	NA	NA
RES00003750	2	SAMN05170752	Col-0 (CS70000)	Arabidopsis thaliana	Seeds 3 (SD3)	Seed 3	first silique is 1-1.5 cm long (abscission of the 8th flower)	NA	NA
RES00003751	2	SAMN05170753	Col-0 (CS70000)	Arabidopsis thaliana	Pod of the silique 3 (POD3)	Pod 3	first silique is 1-1.5 cm long (abscission of the 8th flower)	NA	NA
RES00003752	2	SAMN05170754	Col-0 (CS70000)	Arabidopsis thaliana	Silique 4 (SL4)	Silique 4	first silique is 1-1.5 cm long (abscission of the 8th flower)	NA	NA
RES00003753	2	SAMN05170755	Col-0 (CS70000)	Arabidopsis thaliana	Seeds 5 (SD5)	Seed 5	first silique is 1-1.5 cm long (abscission of the 8th flower)	NA	NA
RES00003754	2	SAMN05170756	Col-0 (CS70000)	Arabidopsis thaliana	Pod of the silique 5 (POD5)	Pod 5	first silique is 1-1.5 cm long (abscission of the 8th flower)	NA	NA
RES00003755	2	SAMN05170757	Col-0 (CS70000)	Arabidopsis thaliana	Silique 6 (SL6)	Silique 6	first silique is 1-1.5 cm long (abscission of the 8th flower)	NA	NA
RES00003756	2	SAMN05170758	Col-0 (CS70000)	Arabidopsis thaliana	Seeds 7 (SD7)	Seed 7	first silique is 1-1.5 cm long (abscission of the 8th flower)	NA	NA
RES00003757	2	SAMN05170759	Col-0 (CS70000)	Arabidopsis thaliana	Pod of the silique 7 (POD7)	Pod 7	first silique is 1-1.5 cm long (abscission of the 8th flower)	NA	NA
RES00003758	2	SAMN05170760	Col-0 (CS70000)	Arabidopsis thaliana	Silique 8 (SL8)	Silique 8	first silique is 1-1.5 cm long (abscission of the 8th flower)	NA	NA
RES00003759	2	SAMN05170761	Col-0 (CS70000)	Arabidopsis thaliana	Young seeds 1 (SD.y1)	Seed from silique 1	abscission of the first flower	NA	NA
RES00003760	2	SAMN05170762	Col-0 (CS70000)	Arabidopsis thaliana	Young seeds 2 (SD.y2)	Seed from silique 2	abscission of the first flower	NA	NA
RES00003761	2	SAMN05170763	Col-0 (CS70000)	Arabidopsis thaliana	Young seeds 3 (SD.y3)	Seed from silique 3	abscission of the first flower	NA	NA
RES00003762	2	SAMN05170764	Col-0 (CS70000)	Arabidopsis thaliana	Young seeds 4 (SD.y4)	Seed from silique 4	abscission of the first flower	NA	NA
RES00003763	2	SAMN05170765	Col-0 (CS70000)	Arabidopsis thaliana	Young seeds 5 (SD.y5)	Seed from silique 5	abscission of the first flower	NA	NA
RES00003764	2	SAMN05170766	Col-0 (CS70000)	Arabidopsis thaliana	Ovules from 6th and 7th flowers (OV.y6-7)	Ovule	abscission of the first flower	NA	NA
RES00003765	2	SAMN05170767	Col-0 (CS70000)	Arabidopsis thaliana	Stigmatic tissue (STI)	Stigma	abscission of the first flower	NA	NA
RES00003766	2	SAMN05170768	Col-0 (CS70000)	Arabidopsis thaliana	Carpel of 6th and 7th flowers (POD.y6-7)	Carpel	abscission of the first flower	NA	NA
RES00003767	2	SAMN05170769	Col-0 (CS70000)	Arabidopsis thaliana	Dry Seeds (SD.d)	Seed	Dry seeds	NA	NA
RES00003768	2	SAMN05170770	Col-0 (CS70000)	Arabidopsis thaliana	Germinating seeds 1 (SD.g1)	Seed	NA	1 day after soaking	NA
RES00003769	2	SAMN05170771	Col-0 (CS70000)	Arabidopsis thaliana	Germinating seeds 2 (SD.g2)	Seed	NA	2 day after soaking	NA
RES00003770	2	SAMN05170772	Col-0 (CS70000)	Arabidopsis thaliana	Germinating seeds 3 (SD.g3)	Seed	NA	3 day after soaking	NA
RES00003771	2	SAMN05170773	Col-0 (CS70000)	Arabidopsis thaliana	Seeds from the senescent silique 1 (SD.sn1)	Seed	first silique was yellow and ready to open	NA	NA
RES00003772	2	SAMN05170774	Col-0 (CS70000)	Arabidopsis thaliana	Pod of the senescent silique 1 (POD.sn1)	Pod	first silique was yellow and ready to open	NA	NA
RES00003773	2	SAMN05170775	Col-0 (CS70000)	Arabidopsis thaliana	Senescent silique 2 (SL.sn2)	Silique	first silique was yellow and ready to open	NA	NA
RES00003774	2	SAMN05170776	Col-0 (CS70000)	Arabidopsis thaliana	Senescent internode (IN.sn)	Internode	first silique was yellow and ready to open	NA	NA
RES00003775	2	SAMN05300263	Col-0 (CS70000)	Arabidopsis thaliana	Cold 1 hour	Leaf Cold 1 hour	NA	21 day	cold
RES00003776	2	SAMN05300264	Col-0 (CS70000)	Arabidopsis thaliana	Cold 3 hours	Leaf Cold 3 hours	NA	21 day	cold
RES00003777	2	SAMN05300265	Col-0 (CS70000)	Arabidopsis thaliana	Cold 6 hours	Leaf Cold 6 hours	NA	21 day	cold
RES00003778	2	SAMN05300266	Col-0 (CS70000)	Arabidopsis thaliana	Cold 12 hours	Leaf Cold 12 hours	NA	21 day	cold
RES00003779	2	SAMN05300267	Col-0 (CS70000)	Arabidopsis thaliana	Cold 24 hours	Leaf Cold 24 hours	NA	21 day	cold
RES00003780	2	SAMN05300268	Col-0 (CS70000)	Arabidopsis thaliana	Heat 1 hour	Leaf Heat 1 hour	NA	21 day	heat
RES00003781	2	SAMN05300269	Col-0 (CS70000)	Arabidopsis thaliana	Heat 3 hours	Leaf Heat 3 hours	NA	21 day	heat
RES00003782	2	SAMN05300270	Col-0 (CS70000)	Arabidopsis thaliana	Heat 6 hours	Leaf Heat 6 hours	NA	21 day	heat
RES00003783	2	SAMN05300271	Col-0 (CS70000)	Arabidopsis thaliana	Heat 12 hours	Leaf Heat 12 hours	NA	21 day	heat
RES00003784	2	SAMN05300272	Col-0 (CS70000)	Arabidopsis thaliana	Heat 24 hours	Leaf Heat 24 hours	NA	21 day	heat
RES00003785	2	SAMN05300273	Col-0 (CS70000)	Arabidopsis thaliana	Wounding 1 hour	Leaf Wounding 1 hour	NA	21 day	wounding
RES00003786	2	SAMN05300274	Col-0 (CS70000)	Arabidopsis thaliana	Wounding 3 hours	Leaf Wounding 3 hours	NA	21 day	wounding
RES00003787	2	SAMN05300275	Col-0 (CS70000)	Arabidopsis thaliana	Wounding 6 hours	Leaf Wounding 6 hours	NA	21 day	wounding
RES00003788	2	SAMN05300276	Col-0 (CS70000)	Arabidopsis thaliana	Wounding 12 hours	Leaf Wounding 12 hours	NA	21 day	wounding
RES00003789	2	SAMN05300277	Col-0 (CS70000)	Arabidopsis thaliana	Wounding 24 hours	Leaf Wounding 24 hours	NA	21 day	wounding
RES00003790	2	SAMN05300278	Col-0 (CS70000)	Arabidopsis thaliana	Wounding 48 hours	Leaf Wounding 48 hours	NA	21 day	wounding
