Run,BioSample,Ecotype,Organism,Sample Name,Tissue,dev_stage,Age,Treatment
SRR3581851,SAMN05170728,Col-0 (CS70000),Arabidopsis thaliana,Carpels of the mature flower (F.CA.ad),Carpel,anthesis of the first flower,NA,NA
SRR3581685,SAMN05170728,Col-0 (CS70000),Arabidopsis thaliana,Carpels of the mature flower (F.CA.ad),Carpel,anthesis of the first flower,NA,NA
SRR3581852,SAMN05170729,Col-0 (CS70000),Arabidopsis thaliana,Anthers of the mature flower (F.AN.ad),Anther before opening,anthesis of the first flower,NA,NA
SRR3581686,SAMN05170729,Col-0 (CS70000),Arabidopsis thaliana,Anthers of the mature flower (F.AN.ad),Anther before opening,anthesis of the first flower,NA,NA
SRR3581853,SAMN05170730,Col-0 (CS70000),Arabidopsis thaliana,Stamen filaments of the mature flower (F.FM.ad),Stamen filament,anthesis of the first flower,NA,NA
SRR3581687,SAMN05170730,Col-0 (CS70000),Arabidopsis thaliana,Stamen filaments of the mature flower (F.FM.ad),Stamen filament,anthesis of the first flower,NA,NA
SRR3581854,SAMN05170731,Col-0 (CS70000),Arabidopsis thaliana,Petals of the mature flower (F.PT.ad),Petal,anthesis of the first flower,NA,NA
SRR3581688,SAMN05170731,Col-0 (CS70000),Arabidopsis thaliana,Petals of the mature flower (F.PT.ad),Petal,anthesis of the first flower,NA,NA
SRR3581855,SAMN05170732,Col-0 (CS70000),Arabidopsis thaliana,Sepals of the mature flower (F.SP.ad),Sepal,anthesis of the first flower,NA,NA
SRR3581689,SAMN05170732,Col-0 (CS70000),Arabidopsis thaliana,Sepals of the mature flower (F.SP.ad),Sepal,anthesis of the first flower,NA,NA
SRR3581856,SAMN05170733,Col-0 (CS70000),Arabidopsis thaliana,Carpels of the young flower (F.CA.y),Young carpel,stage 9,NA,NA
SRR3581690,SAMN05170733,Col-0 (CS70000),Arabidopsis thaliana,Carpels of the young flower (F.CA.y),Young carpel,stage 9,NA,NA
SRR3581857,SAMN05170734,Col-0 (CS70000),Arabidopsis thaliana,Anthers of the young flower (F.AN.y),Young anther,stage 9,NA,NA
SRR3581691,SAMN05170734,Col-0 (CS70000),Arabidopsis thaliana,Anthers of the young flower (F.AN.y),Young anther,stage 9,NA,NA
SRR3581858,SAMN05170735,Col-0 (CS70000),Arabidopsis thaliana,Sepals of the young flower (F.SP.y),Young sepal,stage 9,NA,NA
SRR3581692,SAMN05170735,Col-0 (CS70000),Arabidopsis thaliana,Sepals of the young flower (F.SP.y),Young sepal,stage 9,NA,NA
SRR3581859,SAMN05170736,Col-0 (CS70000),Arabidopsis thaliana,Flower 1 (F1),Flower 1,anthesis of the first flower,NA,NA
SRR3581693,SAMN05170736,Col-0 (CS70000),Arabidopsis thaliana,Flower 1 (F1),Flower 1,anthesis of the first flower,NA,NA
SRR3581860,SAMN05170737,Col-0 (CS70000),Arabidopsis thaliana,Flower 2 (F2),Flower 2,anthesis of the first flower,NA,NA
SRR3581694,SAMN05170737,Col-0 (CS70000),Arabidopsis thaliana,Flower 2 (F2),Flower 2,anthesis of the first flower,NA,NA
SRR3581861,SAMN05170738,Col-0 (CS70000),Arabidopsis thaliana,Flower 3 (F3),Flower 3,anthesis of the first flower,NA,NA
SRR3581695,SAMN05170738,Col-0 (CS70000),Arabidopsis thaliana,Flower 3 (F3),Flower 3,anthesis of the first flower,NA,NA
SRR3581862,SAMN05170739,Col-0 (CS70000),Arabidopsis thaliana,Flower 4 (F4),Flower 4,anthesis of the first flower,NA,NA
